Point Départ,KNN,TWO_OPT,Amélioration (%)
Le Mesnil-le-Roi,114.89,93.27,18.82
Le Perreux-Sur-Marne,116.83,94.91,18.76
Goussainville,116.83,94.91,18.76
Ablon-sur-Seine,116.83,94.91,18.76
Tassin-la-Demi-Lune,116.82,94.91,18.75
Luisant,116.82,94.91,18.75
Pérols,116.82,94.91,18.75
La Madeleine,116.82,94.91,18.75
Le Raincy,114.48,93.03,18.74
Saint-Germain-lès-Arpajon,114.48,93.03,18.74
Viry-Châtillon,114.48,93.03,18.74
Limay,114.71,93.26,18.7
Saint-Jean,114.71,93.26,18.7
Thiais,114.71,93.26,18.7
Troyes,118.41,96.31,18.67
Cugnaux,117.67,95.74,18.64
Bry-sur-Marne,117.67,95.74,18.64
Jacob-Bellecombette,116.54,94.85,18.61
Villefontaine,116.54,94.85,18.61
Le Bourget,116.54,94.85,18.61
Boissy-Saint-Léger,116.54,94.85,18.61
Rezé,116.54,94.85,18.61
Nice,116.54,94.85,18.61
Ézanville,118.38,96.36,18.6
Chambéry,116.6,94.93,18.59
Bagnolet,116.6,94.93,18.59
Fontaine,112.87,91.91,18.58
Palaiseau,116.49,94.85,18.58
Dijon,116.49,94.85,18.58
Clichy-sous-Bois,116.59,94.93,18.58
Saintry-sur-Seine,112.87,91.91,18.58
Fort-Mardyck,116.49,94.85,18.58
Toulon,116.59,94.93,18.58
Saint-Cyr-l’École,116.49,94.85,18.58
Noyelles-sous-Lens,112.87,91.91,18.58
Bussy-Saint-Georges,116.49,94.85,18.58
Belfort,112.87,91.91,18.58
Champs-Sur-Marne,112.87,91.91,18.58
La Ville-du-Bois,116.59,94.93,18.58
Pérenchies,112.87,91.91,18.58
Villiers-le-Bel,116.49,94.85,18.58
Le Chesnay,112.87,91.91,18.58
Cachan,116.49,94.85,18.58
Vénissieux,116.59,94.93,18.58
Nevers,112.87,91.91,18.58
Croissy-sur-Seine,116.49,94.85,18.58
Bonneuil-sur-Marne,116.68,95.01,18.57
L’Arbresle,116.68,95.01,18.57
Le Plessis-Robinson,116.68,95.01,18.57
Ramonville-Saint-Agne,116.68,95.01,18.57
Crégy-lès-Meaux,116.68,95.01,18.57
Wattignies,116.68,95.01,18.57
La Seyne-sur-Mer,118.19,96.29,18.53
La Garde,117.94,96.13,18.49
Sallaumines,117.94,96.13,18.49
Bron,114.45,93.34,18.44
Villeneuve-le-Roi,114.45,93.34,18.44
Yvetot,114.45,93.34,18.44
L’Union,114.45,93.34,18.44
Besançon,114.45,93.34,18.44
Boulogne-sur-Mer,114.45,93.34,18.44
Les Pavillons-sous-Bois,114.45,93.34,18.44
Châteauroux,116.19,94.84,18.37
Montlhéry,116.19,94.84,18.37
Laval,116.19,94.84,18.37
Longjumeau,116.19,94.84,18.37
Rouelles,116.19,94.84,18.37
Auray,116.19,94.84,18.37
Combs-la-Ville,116.19,94.84,18.37
Annecy,116.2,94.87,18.35
Chartres,116.2,94.87,18.35
Aubervilliers,114.84,93.82,18.31
Groslay,114.84,93.82,18.31
Lorient,114.84,93.82,18.31
Montpellier,114.84,93.82,18.31
Saint-Gratien,114.84,93.82,18.31
Garges-lès-Gonesse,114.84,93.82,18.31
Bagneux,114.84,93.82,18.31
Vitry-le-François,117.56,96.09,18.26
Magnanville,117.56,96.09,18.26
Domont,117.56,96.09,18.26
Châtillon,117.56,96.09,18.26
Saint-Étienne-du-Rouvray,114.89,93.99,18.19
L’Île-Saint-Denis,114.89,93.99,18.19
La Tour-du-Pin,114.89,93.99,18.19
Savigny-sur-Orge,114.89,93.99,18.19
Le Vésinet,114.89,93.99,18.19
Maisons-Laffitte,114.89,93.99,18.19
Courcelles-les-Lens,112.31,91.89,18.18
Avesnes-sur-Helpe,112.31,91.89,18.18
Lyon,112.31,91.89,18.18
Tinqueux,112.31,91.89,18.18
Leers,112.31,91.89,18.18
Deuil-la-Barre,112.31,91.89,18.18
Ferney-Voltaire,112.31,91.89,18.18
Le Kremlin-Bicêtre,112.31,91.89,18.18
Saint-André-les-Vergers,117.8,96.38,18.18
Courchelettes,112.31,91.89,18.18
Port-Louis,112.31,91.89,18.18
Nancy,112.31,91.89,18.18
Le Pré-Saint-Gervais,112.31,91.89,18.18
Armentières,112.31,91.89,18.18
Brunoy,112.31,91.89,18.18
Clamart,117.81,96.42,18.15
Angers,117.81,96.42,18.15
Pfastatt,117.81,96.42,18.15
Sannois,117.77,96.41,18.13
Sainte-Geneviève-des-Bois,117.77,96.41,18.13
Joinville-le-Pont,117.77,96.41,18.13
Montargis,116.86,95.68,18.12
Tarbes,116.86,95.68,18.12
Montigny-lès-Metz,116.86,95.68,18.12
Bouffémont,116.86,95.68,18.12
Noisy-le-Grand,116.86,95.68,18.12
Vanves,116.86,95.68,18.12
Fâches-Thumesnil,116.86,95.68,18.12
Saint-Maur-des-Fossés,117.94,96.63,18.07
Chelles,116.8,95.76,18.02
Bures-sur-Yvette,116.8,95.76,18.02
Montmagny,116.8,95.76,18.02
Liancourt,116.84,95.81,18.0
Aucamville,116.84,95.81,18.0
Wasquehal,112.83,92.52,18.0
Issy-les-Moulineaux,116.84,95.81,18.0
La Garenne-Colombes,116.84,95.81,18.0
Villecresnes,112.83,92.52,18.0
Saint-Ouen-l’Aumône,112.83,92.52,18.0
Hem,112.83,92.52,18.0
Levallois-Perret,112.83,92.52,18.0
Verneuil-sur-Seine,116.91,95.87,18.0
Stiring-Wendel,116.91,95.87,18.0
Angoulême,116.91,95.87,18.0
Bellevue,118.08,96.83,17.99
Vallauris,113.35,93.0,17.95
Marquette-lès-Lille,116.77,95.81,17.95
Cesson,113.35,93.0,17.95
